Time(s),TidalVolume(mL)
48.36,439.748
48.4,439.748
48.44,439.748
48.48,439.748
48.52,439.748
48.56,439.748
48.6,439.748
48.64,439.748
48.68,439.748
48.72,439.748
48.76,439.748
48.8,439.748
48.84,439.748
48.88,439.748
48.92,439.748
48.96,439.748
49,439.748
49.04,439.748
49.08,439.748
49.12,439.748
49.16,439.748
49.2,439.748
49.24,439.748
49.28,439.748
49.32,439.748
49.36,439.748
49.4,439.748
49.44,439.748
49.48,439.748
49.52,439.748
49.56,439.748
49.6,439.748
49.64,439.748
49.68,439.748
49.72,439.748
49.76,439.748
49.8,439.748
49.84,439.748
49.88,439.748
49.92,439.748
49.96,439.748
50,439.748
50.04,439.748
50.08,439.748
50.12,439.748
50.16,439.748
50.2,439.748
50.24,439.748
50.28,439.748
50.32,439.748
50.36,439.748
50.4,439.748
50.44,439.748
50.48,439.748
50.52,439.748
50.56,439.748
50.6,439.748
50.64,439.748
50.68,439.748
50.72,452.656
50.76,452.656
50.8,452.656
50.84,452.656
50.88,452.656
50.92,452.656
50.96,452.656
51,452.656
51.04,452.656
51.08,452.656
51.12,452.656
51.16,452.656
51.2,452.656
51.24,452.656
51.28,452.656
51.32,452.656
51.36,452.656
51.4,452.656
51.44,452.656
51.48,452.656
51.52,452.656
51.56,452.656
51.6,452.656
51.64,452.656
51.68,452.656
51.72,452.656
51.76,452.656
51.8,452.656
51.84,452.656
51.88,452.656
51.92,452.656
51.96,452.656
52,452.656
52.04,452.656
52.08,452.656
52.12,452.656
52.16,452.656
52.2,452.656
52.24,452.656
52.28,452.656
52.32,452.656
52.36,452.656
52.4,452.656
52.44,452.656
52.48,452.656
52.52,452.656
52.56,452.656
52.6,452.656
52.64,452.656
52.68,452.656
52.72,452.656
52.76,452.656
52.8,452.656
52.84,452.656
52.88,452.656
52.92,452.656
52.96,452.656
53,452.656
53.04,452.656
53.08,452.656
53.12,452.656
53.16,452.656
53.2,452.656
53.24,452.656
53.28,452.656
53.32,452.656
53.36,452.656
53.4,452.656
53.44,452.656
53.48,452.656
53.52,452.656
53.56,452.656
53.6,452.656
53.64,452.656
53.68,452.656
53.72,452.656
53.76,452.656
53.8,452.656
53.84,452.656
53.88,452.656
53.92,452.656
53.96,452.656
54,452.656
54.04,452.656
54.08,452.656
54.12,452.656
54.16,465.996
54.2,465.996
54.24,465.996
54.28,465.996
54.32,465.996
54.36,465.996
54.4,465.996
54.44,465.996
54.48,465.996
54.52,465.996
54.56,465.996
54.6,465.996
54.64,465.996
54.68,465.996
54.72,465.996
54.76,465.996
54.8,465.996
54.84,465.996
54.88,465.996
54.92,465.996
54.96,465.996
55,465.996
55.04,465.996
55.08,465.996
55.12,465.996
55.16,465.996
55.2,465.996
55.24,465.996
55.28,465.996
55.32,465.996
55.36,465.996
55.4,465.996
55.44,465.996
55.48,465.996
55.52,465.996
55.56,465.996
55.6,465.996
55.64,465.996
55.68,465.996
55.72,465.996
55.76,465.996
55.8,465.996
55.84,465.996
55.88,465.996
55.92,465.996
55.96,465.996
56,465.996
56.04,465.996
56.08,465.996
56.12,465.996
56.16,465.996
56.2,465.996
56.24,465.996
56.28,465.996
56.32,465.996
56.36,465.996
56.4,465.996
56.44,465.996
56.48,465.996
56.52,465.996
56.56,465.996
56.6,465.996
56.64,465.996
56.68,465.996
56.72,465.996
56.76,465.996
56.8,465.996
56.84,465.996
56.88,465.996
56.92,465.996
56.96,465.996
57,465.996
57.04,465.996
57.08,465.996
57.12,465.996
57.16,465.996
57.2,465.996
57.24,465.996
57.28,465.996
57.32,465.996
57.36,465.996
57.4,465.996
